English word,French word,Frequency
abide,respecter,35
about,sur,358
above,au dessus,124
absence,absence,55
abuse,abuser de,46
account,Compte,45
acquainted,connaissance,38
action,action,113
advantage,avantage,70
affairs,affaires,66
after,après,339
again,encore,757
alive,vivant,86
almost,presque,139
alone,seul,232
already,déjà,139
although,bien que,37
always,toujours,59
anger,colère,58
another,un autre,370
answer,répondre,403
apparel,vêtements,39
appear,apparaître,133
argument,argument,67
aside,de côté,130
attend,assister,103
authority,autorité,51
awake,éveillé,62
barren,Dénudé,38
bastard,Connard,66
beard,barbe,96
bears,ours,102
beast,la bête,72
beaten,battu,48
beauty,beauté,224
because,car,81
before,avant,628
beggar,mendiant,73
behind,derrière,114
behold,voir,119
being,étant,548
believe,croyez,185
below,au dessous de,52
benefit,avantage,39
better,mieux,566
birth,naissance,87
black,noir,157
blame,faire des reproches,82
blessing,bénédiction,42
blest,heureux,50
blind,aveugle,82
blood,du sang,660
blunt,cru,27
blush,rougir,52
bones,des os,76
borne,supporté,80
bound,lié,171
bounty,prime,41
brain,cerveau,95
brains,cerveaux,45
brave,courageux,146
breast,Sein,98
breath,souffle,229
breed,race,47
brief,bref,84
bright,brillant,70
bring,apporter,375
brought,apporté,186
buried,enterré,54
burning,brûlant,50
cannot,ne peux pas,718
captain,capitaine,60
carry,porter,81
cause,cause,336
cease,cesser,42
certain,certain,167
chance,chance,103
change,changement,148
cheek,joue,79
chide,gronder,45
chief,chef,30
child,enfant,227
civil,civil,50
clear,clair,64
clouds,des nuages,57
comfort,confort,174
coming,venir,145
commend,saluer,58
common,commun,152
complexion,complexion,40
confess,avouer,134
consent,consentement,88
consider,considérer,45
constant,constant,48
content,contenu,141
contrary,contraire,47
copies,copies,4
copyright,droits d'auteur,7
could,pourrait,557
count,compter,50
counterfeit,contrefaire,53
course,cours,157
coward,lâche,84
crave,demander,41
cross,traverser,98
cruel,cruel,71
cunning,ruse,73
curse,malédiction,98
darkness,obscurité,37
dearest,très cher,56
dearly,chèrement,41
death,décès,845
deeds,actes,118
delight,délice,55
depart,partir,62
desert,désert,44
desire,le désir,209
despite,malgré,44
devise,concevoir,46
didst,didst,145
discover,découvrir,39
